id,price_usd
3632,746456.0
3633,218711.535
2263404,225133.14285714287
2263405,201692.92801904763
2263406,273532.6933333333
2263407,201692.92801904763
2263408,201692.92801904763
2263409,201692.92801904763
2263410,168015.0
2263411,213280.67520000003
2263412,213280.67520000003
2263413,213280.67520000003
2263415,178430.06473333333
2263416,767666.6666666669
2263417,102533.68344000001
2263418,102533.68344000001
2263419,102533.68344000001
2263420,102533.68344000001
2263421,102533.68344000001
2263422,102533.68344000001
2263423,102533.68344000001
2263424,102533.68344000001
2263425,123299.38285714286
2263426,111675.10580645167
2263427,111675.10580645167
2263428,111675.10580645167
2263429,111675.10580645167
2263430,102533.68344000001
2263431,102533.68344000001
2263432,111832.30201513514
2263433,111832.30201513514
2263434,111832.30201513514
2263436,111832.30201513514
2263437,111832.30201513514
2263438,102533.68344000001
2263439,111832.30201513514
2263440,111832.30201513514
2263441,102533.68344000001
2263442,102533.68344000001
2263443,102533.68344000001
2263444,102533.68344000001
2263445,260108.46666666665
2263453,147685.73333333334
2263460,178430.06473333333
2263461,178430.06473333333
2263464,126736.57628571428
2263467,140580.93333333332
2263471,133902.66666666666
2263472,133902.66666666666
2263476,201880.0
2263477,336431.11111111107
2263480,292365.0
2263482,306100.0
2263633,380050.0
2263638,101697.8738
2263652,302060.0
2264067,153504.0
2264075,130235.78339710146
2264078,146192.0
2264079,147000.0
2264080,540000.0
2264151,79086.0
2264153,119076.0
2264155,311200.0
2264158,86870.0
2264162,100880.0
2264164,65000.0
2264168,222520.0
2264173,65000.0
2264178,190176.0
2264183,90785.96175
2264189,203786.76
2264198,191277.14066666667
2264199,172803.58066666668
2264206,90785.96175
2264212,90785.96175
2264215,90785.96175
2264218,90785.96175
2264219,567720.0
2264221,90785.96175
2264227,119511.67459523809
2264229,567720.0
2264234,220633.12
2264240,82693.33333333333
2264242,110000.0
2264248,96520.0
2264249,258733.14285714287
2264259,145702.66666666666
2264265,141957.0942
2264270,359000.0
2264272,95140.0
2264274,325000.0
2264284,170596.16
2264285,110512.89333333333
2264286,110512.89333333333
