id,price_usd
3632,995457.75
3633,19791.6914062
2263404,203248.765625
2263405,100964.375
2263406,136112.890625
2263407,100964.375
2263408,100964.375
2263409,100964.375
2263410,167749.09375
2263411,125403.265625
2263412,125403.265625
2263413,125403.265625
2263415,368670.90625
2263416,775523.875
2263417,101370.21875
2263418,101370.21875
2263419,101370.21875
2263420,101370.21875
2263421,101370.21875
2263422,101370.21875
2263423,101370.21875
2263424,101370.21875
2263425,142413.140625
2263426,142413.140625
2263427,142413.140625
2263428,142413.140625
2263429,142413.140625
2263430,101370.21875
2263431,101370.21875
2263432,101370.21875
2263433,101370.21875
2263434,101370.21875
2263436,101370.21875
2263437,101370.21875
2263438,101370.21875
2263439,101370.21875
2263440,101370.21875
2263441,101370.21875
2263442,101370.21875
2263443,101370.21875
2263444,101370.21875
2263445,238586.40625
2263453,115471.078125
2263460,368670.90625
2263461,368670.90625
2263464,106798.765625
2263467,105816.40625
2263471,137684.75
2263472,119421.703125
2263476,417240.1875
2263477,369093.15625
2263480,270453.09375
2263482,297602.1875
2263633,744172.25
2263638,80827.328125
2263652,518832.1875
2264067,98527.015625
2264075,104510.875
2264078,168177.03125
2264079,175575.90625
2264080,665618.5
2264151,84563.1953125
2264153,133494.390625
2264155,377026.75
2264158,84010.3203125
2264162,73706.765625
2264164,72964.375
2264168,156102.78125
2264173,72964.375
2264178,214784.234375
2264183,147442.84375
2264189,221324.3125
2264198,114813.03125
2264199,94118.890625
2264206,147442.84375
2264212,147442.84375
2264215,147442.84375
2264218,147442.84375
2264219,495140.53125
2264221,147442.84375
2264227,230652.28125
2264229,495140.53125
2264234,285746.0625
2264240,73935.6875
2264242,104510.875
2264248,131256.078125
2264249,371150.09375
2264259,176110.765625
2264265,285746.0625
2264270,294560.8125
2264272,7161762.5
2264274,351213.65625
2264284,209433.046875
2264285,115781.695312
2264286,115781.695312
2264290,288099.5625
2264296,245763.078125
2264298,298508.0
2264305,80257.125
2264312,272826.0
2264318,130220.664062
2264320,156672.171875
2264323,397930.8125
2264376,397930.8125
2264474,473003.625
2264479,116279.765625
2264482,159525.59375
2264491,129406.164062
2264514,138509.34375
2264518,154045.671875
2264525,138611.59375
2264537,209759.546875
2264545,104023.5
2264549,74873.171875
2264569,97481.5
2264570,97481.5
2264571,97481.5
2264572,97481.5
2264573,97481.5
2264574,156901.78125
2264575,51740.671875
2264576,97481.5
2264577,97481.5
2264578,157664.3125
2264589,417762.84375
2264598,147442.84375
2264600,147442.84375
2264603,147442.84375
2264604,147442.84375
2264607,147442.84375
2264610,147442.84375
2264617,185186.296875
2264618,93210.8203125
2264619,154032.0
2264629,126188.40625
2264633,134755.203125
2264637,250580.25
2264686,168680.921875
2264690,85938.15625
2264695,160594.03125
2264699,152659.109375
2264702,113492.226562
2264709,104023.5
2264714,103550.101562
2264717,141464.859375
2264718,124452.109375
2264723,208975.46875
2264731,178483.171875
2264732,2406942.0
2264733,1133244.5
2264734,344732.125
2264735,109138.992188
2264736,1390891.75
2264737,488440.90625
2264744,1390891.75
2264745,362907.15625
2264747,1390891.75
2264756,105816.40625
2264763,82411.25
2264770,74094.578125
2264773,256420.171875
2264774,282621.4375
2264780,308757.28125
2264785,129732.46875
2264795,104804.546875
2264796,225593.203125
2264798,308757.28125
2264799,394044.71875
2264800,100145.625
2264801,222976.34375
2264807,228837.171875
2264808,104889.867188
2264811,441119.875
2264812,161220.78125
2264813,116489.125
2264818,161220.78125
2264835,342171.3125
2264838,112974.835938
2264847,203950.5625
2264851,395351.28125
2264878,78478.0625
2264880,463123.4375
2264888,156325.96875
2264890,35875.3671875
2264893,193316.0
2264896,218045.25
2264920,235145.46875
2264924,127034.804688
2264925,123409.296875
2264927,188716.21875
2264929,263081.21875
2264940,132240.359375
2264943,143191.171875
2264946,82346.2421875
2264952,589776.8125
2264960,49398.4609375
2264970,463987.46875
2264971,132240.359375
2264975,82346.2421875
2264976,292292.3125
2264981,57937.4609375
2264986,461628.84375
2264989,112630.070312
2264992,373292.9375
2264994,127034.804688
2264997,128357.75
2265009,165963.53125
2265015,121901.4375
2265019,664882.9375
2265023,164502.9375
2265028,50039.1875
2265029,283213.6875
2265031,548534.1875
2265038,86537.6640625
2265045,381234.15625
2265046,369475.4375
2265055,328871.21875
2265057,476523.75
2265059,264209.90625
2265060,239580.578125
