id,price_usd
3632,208395.466642
3633,358603.985001
2263404,401939.533664
2263405,137073.268568
2263406,137074.123815
2263407,137073.268568
2263408,137073.268568
2263409,137073.268568
2263410,233771.919862
2263411,194464.764433
2263412,194464.764433
2263413,194464.764433
2263415,507309.715115
2263416,395714.703245
2263417,134196.209788
2263418,134196.209788
2263419,134196.209788
2263420,134196.209788
2263421,134196.209788
2263422,134196.209788
2263423,134196.209788
2263424,134196.209788
2263425,134198.806204
2263426,134199.042242
2263427,134199.042242
2263428,134199.042242
2263429,134199.042242
2263430,134196.209788
2263431,134196.209788
2263432,134196.209788
2263433,134196.209788
2263434,134196.209788
2263436,134196.209788
2263437,134196.209788
2263438,134196.209788
2263439,134196.209788
2263440,134196.209788
2263441,134196.209788
2263442,134196.209788
2263443,134196.209788
2263444,134196.209788
2263445,282819.758962
2263453,298977.717231
2263460,507309.715115
2263461,507309.715115
2263464,286609.790746
2263467,208063.885811
2263471,183874.153201
2263472,148357.151458
2263476,245448.802577
2263477,161685.895049
2263480,239641.784428
2263482,354267.48158
2263633,431031.516222
2263638,205036.332811
2263652,106757.410683
2264067,133767.940627
2264075,208063.675435
2264078,273653.258332
2264079,161678.531885
2264080,650436.901837
2264151,149659.947692
2264153,259138.801985
2264155,257312.856316
2264158,158256.874574
2264162,143525.359179
2264164,185878.067741
2264168,157150.947666
2264173,185878.067741
2264178,161678.952638
2264183,151593.112871
2264189,208066.129823
2264198,157146.770257
2264199,127996.100704
2264206,151593.112871
2264212,151593.112871
2264215,151593.112871
2264218,151593.112871
2264219,420761.876996
2264221,151593.112871
2264227,151595.356883
2264229,420761.876996
2264234,151596.969766
2264240,133767.406324
2264242,208063.675435
2264248,181845.302643
2264249,264598.841328
2264259,442995.700333
2264265,151596.829516
2264270,208067.812832
2264272,184760.765762
2264274,199780.474685
2264284,242176.247515
2264285,242165.955106
2264286,242165.955106
2264290,536550.845031
2264296,332703.489423
2264298,239642.306188
2264305,161675.446369
2264312,324673.398908
2264318,250070.460079
2264320,199763.681867
2264323,315348.804585
2264376,315348.804585
2264474,362746.438883
2264479,112059.192888
2264482,151594.164752
2264491,332700.576929
2264514,242167.630615
2264518,161678.041008
2264525,157725.853732
2264537,168673.413367
2264545,127206.243416
2264549,168670.006902
2264569,168670.514248
2264570,168670.586726
2264571,168670.514248
2264572,168670.586726
2264573,168670.659204
2264574,168672.108763
2264575,168669.137167
2264576,168670.586726
2264577,168670.659204
2264578,168672.253719
2264589,208073.14236
2264598,151593.112871
2264600,151593.112871
2264603,151593.112871
2264604,151593.112871
2264607,151593.112871
2264610,151593.112871
2264617,273655.924735
2264618,185879.329998
2264619,226504.968171
2264629,129833.304624
2264633,164485.494764
2264637,266833.286824
2264686,233495.115433
2264690,237648.793671
2264695,401973.688721
2264699,167018.173678
2264702,297949.971023
2264709,127206.243416
2264714,119820.561111
2264717,233770.365808
2264718,316279.817842
2264723,158412.382197
2264731,239639.920999
2264732,245504.333714
2264733,564812.150601
2264734,442753.763807
2264735,139819.619886
2264736,264611.896824
2264737,208960.672817
2264744,264611.896824
2264745,199782.178305
2264747,264611.896824
2264756,208063.885811
2264763,263743.259472
2264770,208063.184558
2264773,266833.097643
2264774,199776.580698
2264780,133775.420867
2264785,106477.794094
2264795,186914.067254
2264796,315342.869024
2264798,133775.420867
2264799,266833.83335
2264800,265955.02584
2264801,286611.666329
2264807,208067.251829
2264808,197980.780934
2264811,201752.579227
2264812,197983.165197
2264813,277162.335865
2264818,197983.165197
2264835,350340.342761
2264838,119741.677215
2264847,134714.370715
2264851,277114.276541
2264878,181843.970261
2264880,262672.691338
2264888,208064.587065
2264890,143522.744024
2264893,235593.747254
2264896,337916.161693
2264920,337916.353829
2264924,133564.534905
2264925,133563.354716
2264927,134369.079354
2264929,337916.642032
2264940,337915.201015
2264943,337914.960845
2264946,337914.720676
2264952,261574.562696
2264960,332190.502665
2264970,208959.833159
2264971,337915.201015
2264975,337914.720676
2264976,628274.419353
2264981,181843.759884
2264986,966607.281462
2264989,128423.079053
2264992,121472.171957
2264994,133563.590753
2264997,138016.014679
2265009,148486.369212
2265015,134613.792268
2265019,143011.065248
2265023,128428.521836
2265028,403991.191469
2265029,208068.724462
2265031,270256.225839
2265038,174288.081686
2265045,240216.052993
2265046,420761.6037
2265055,112090.02468
2265057,208071.669727
2265059,180706.615874
2265060,395714.408827
2265063,242176.96559
2265085,167852.221432
2265086,251544.112939
2265087,393077.489783
2265097,628273.102471
2265098,183156.917795
2265133,298977.694223
2265145,286621.740889
2265155,420759.526649
2265180,315340.845538
2265183,277500.760962
2265192,208842.208704
2265193,446613.526372
2265194,277198.048786
2265195,245517.210349
2265196,446613.526372
2265220,134915.4274
2265226,166952.875939
2265230,846853.671691
2265232,182609.177289
2265236,199784.612046
2265246,181843.759884
2265257,127208.618335
2265258,190004.159441
2265259,143525.359179
2265263,143525.359179
2265267,189998.318461
2265270,189998.318461
2265513,298978.177404
2265537,530856.056878
2265542,208067.882957
2265545,275852.460965
2265547,275851.373974
2265549,126569.811408
2265551,129226.925907
2265552,174288.325046
2265553,174288.325046
2265554,174288.325046
2265555,174288.081686
2265556,201721.166889
2265557,174288.081686
2265558,174288.081686
2265559,174291.245363
2265560,174291.245363
