id,price_usd
3632,275405.338174
3633,263777.302374
2263404,263777.741547
2263405,263776.532102
2263406,257696.053405
2263407,263776.532102
2263408,263776.532102
2263409,263776.532102
2263410,257699.827445
2263411,280858.59819
2263412,280858.59819
2263413,280858.59819
2263415,263888.314492
2263416,296299.265625
2263417,263776.547744
2263418,263776.547744
2263419,263776.547744
2263420,263776.547744
2263421,263776.547744
2263422,263776.547744
2263423,263776.547744
2263424,263776.547744
2263425,263776.615184
2263426,263776.62773
2263427,263776.62773
2263428,263776.62773
2263429,263776.62773
2263430,263776.547744
2263431,263776.547744
2263432,263776.547744
2263433,263776.547744
2263434,263776.547744
2263436,263776.547744
2263437,263776.547744
2263438,263776.547744
2263439,263776.547744
2263440,263776.547744
2263441,263776.547744
2263442,263776.547744
2263443,263776.547744
2263444,263776.547744
2263445,281729.074558
2263453,263776.582327
2263460,263888.314492
2263461,263888.314492
2263464,263776.64498
2263467,263776.53102
2263471,280887.774719
2263472,263865.804335
2263476,263784.925974
2263477,296045.772593
2263480,263784.892087
2263482,263865.686183
2263633,296299.883654
2263638,263776.677485
2263652,296299.88365
2264067,263776.560272
2264075,263776.529928
2264078,263788.251249
2264079,280859.172323
2264080,296299.883233
2264151,263776.533849
2264153,263776.574086
2264155,296298.081028
2264158,263776.536065
2264162,257696.088662
2264164,263776.530028
2264168,280899.671142
2264173,263776.530028
2264178,280860.014926
2264183,257696.12404
2264189,280858.734333
2264198,257696.11094
2264199,257817.585914
2264206,257696.12404
2264212,257696.12404
2264215,257696.12404
2264218,257696.12404
2264219,277157.200822
2264221,257696.12404
2264227,280865.301288
2264229,277157.200822
2264234,281006.964337
2264240,263776.540451
2264242,263776.529928
2264248,257696.046698
2264249,258452.155988
2264259,264014.486776
2264265,280972.220302
2264270,280864.577773
2264272,280797.667619
2264274,257969.595584
2264284,263779.410435
2264285,263776.536736
2264286,263776.536736
2264290,290964.777575
2264296,277538.523897
2264298,263797.913838
2264305,263776.529574
2264312,296288.192045
2264318,263778.416306
2264320,263776.554289
2264323,295809.459797
2264376,295809.459797
2264474,290320.113842
2264479,263776.586263
2264482,280859.185969
2264491,280858.495514
2264514,263776.550762
2264518,266410.193157
2264525,263779.741673
2264537,257722.457244
2264545,263776.619197
2264549,263776.575992
2264569,263776.651161
2264570,263776.668882
2264571,263776.651161
2264572,263776.668882
2264573,263776.689147
2264574,263778.89034
2264575,263776.537379
2264576,263776.668882
2264577,263776.689147
2264578,263779.61764
2264589,294995.5887
2264598,257696.12404
2264600,257696.12404
2264603,257696.12404
2264604,257696.12404
2264607,257696.12404
2264610,257696.12404
2264617,257747.243246
2264618,257696.057299
2264619,257725.865526
2264629,263924.087528
2264633,280937.879495
2264637,280883.859865
2264686,281282.594325
2264690,263777.35828
2264695,263778.580297
2264699,263916.727975
2264702,257696.031603
2264709,263776.619197
2264714,263776.569304
2264717,263776.604653
2264718,257701.860486
2264723,265435.819945
2264731,263776.819935
2264732,296299.883653
2264733,296299.512515
2264734,273069.487778
2264735,280858.526109
2264736,296299.883654
2264737,295315.295297
2264744,296299.883654
2264745,258376.754305
2264747,296299.883654
2264756,263776.53102
2264763,263776.532967
2264770,263776.528586
2264773,280866.065691
2264774,263808.988971
2264780,288893.850553
2264785,263777.682289
2264795,263776.539963
2264796,280861.868019
2264798,288893.850553
2264799,281653.845093
2264800,263776.91163
2264801,280871.464428
2264807,280860.569598
2264808,257696.069177
2264811,296271.999618
2264812,280862.119898
2264813,263776.533553
2264818,280862.119898
2264835,260806.122433
2264838,263776.623396
2264847,296285.049412
2264851,263882.540028
2264878,263776.528912
2264880,295990.141011
2264888,257696.044107
2264890,263776.528108
2264893,257698.239514
2264896,263860.177476
2264920,263919.332694
2264924,263776.724021
2264925,263776.628139
2264927,272318.17453
2264929,264093.297976
2264940,263782.218788
2264943,263779.431639
2264946,263778.009449
2264952,296294.224129
2264960,263776.673898
2264970,276101.877779
2264971,263782.218788
2264975,263778.009449
2264976,264352.749446
2264981,263776.528519
2264986,296299.883604
2264989,263820.717625
2264992,296299.882924
2264994,263776.642544
2264997,265417.476579
2265009,273110.590072
2265015,263776.532276
2265019,296299.883653
2265023,296071.791315
2265028,263776.675308
2265029,280893.354739
